"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"BIOE","101","Intro to Bioengineering","2437","Biomedical Eng - Engineering","28","8","6","4","5","0","0","0","1","0","0","0","0","0","0","4","Eddington, David T.","56"
"BIOE","102","Bioengineering Freshman Smnr","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","48","3","2","Shokuhfar, Tolou","53"
"BIOE","205","Biothermodynamics","2437","Biomedical Eng - Engineering","35","4","2","3","1","0","0","0","0","0","1","0","0","0","0","1","Wang, Zhinan","47"
"BIOE","240","Modeling Data and Systems","2437","Biomedical Eng - Engineering","21","9","4","2","1","0","0","0","0","0","0","0","0","0","0","1","Wu, Ming","38"
"BIOE","250","Problems in Bioengineering","2437","Biomedical Eng - Engineering","35","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Felder, Anthony E","45"
"BIOE","310","Biosystems Analysis","2437","Biomedical Eng - Engineering","14","13","15","5","0","0","0","0","0","0","0","0","0","0","0","1","Royston, Thomas J.","48"
"BIOE","325","Biotransport","2437","Biomedical Eng - Engineering","27","14","2","1","1","0","0","0","0","0","0","0","0","0","0","0","Lee, James Chakman","45"
"BIOE","339","Biostatistics I","2437","Biomedical Eng - Engineering","8","9","8","3","2","0","0","0","0","0","0","0","0","0","0","1","Wang, Zhinan","31"
"BIOE","397","Senior Design II","2437","Biomedical Eng - Engineering","37","21","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Kotche, Miiri Ann","60"
"BIOE","399","Prof Develop for Bioengineers","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","69","0","0","Esmailbeigi, Hananeh","69"
"BIOE","410","Medical Device Requirements","2437","Biomedical Eng - Engineering","45","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Bogdanowicz, Leszek B","51"
"BIOE","430","Bioinstrumentation I","2437","Biomedical Eng - Engineering","5","12","10","6","0","0","0","0","0","0","0","0","0","0","0","1","Felder, Anthony E","34"
"BIOE","431","Bioinstrumentation I Lab","2437","Biomedical Eng - Engineering","16","8","6","0","1","0","0","0","0","0","1","0","0","0","0","0","Wang, Zhinan","32"
"BIOE","452","Biocontrol","2437","Biomedical Eng - Engineering","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Patton, James","11"
"BIOE","455","Intro to Cell & Tissue Engr","2437","Biomedical Eng - Engineering","9","11","1","1","1","0","0","0","0","0","0","0","0","0","0","0","Alsberg, Eben","23"
"BIOE","460","Biomaterials","2437","Biomedical Eng - Engineering","14","10","5","3","0","0","0","0","1","0","0","0","0","0","0","0","Shin, Jae-Won","33"
"BIOE","475","Neural Engineering I","2437","Biomedical Eng - Engineering","10","12","4","1","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","27"
"BIOE","476","Neural Engineering Lab","2437","Biomedical Eng - Engineering","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","27"
"BIOE","494","Human Augmentics","2437","Biomedical Eng - Engineering","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Esmailbeigi, Hananeh","10"
"BIOE","494","Human Factors Eng Med Devices","2437","Biomedical Eng - Engineering","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bogdanowicz, Leszek B","13"
"BIOE","494","Intro to Dental Sci & Research","2437","Biomedical Eng - Engineering","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Mathew Thoppil, Mathew","22"
"BIOE","505","NanoBioTechnology","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","Thomas, Lynn Ann","13"
"BIOE","532","Adv Bio Systems Analysis","2437","Biomedical Eng - Engineering","11","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","Linninger, Andreas A","12"
"BIOE","548","Nanoscale Bioengineering","2437","Biomedical Eng - Engineering","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Papautsky, Ian","12"
"BIOE","548","Nanoscale Bioengineering","2437","Biomedical Eng - Engineering","0","0","1","0","0","0","0","12","0","0","0","0","0","0","0","0","Stephens, Jenna Renae","13"
"BIOE","580","Bioinformatics II","2437","Biomedical Eng - Engineering","4","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","Liang, Jie","11"
"BIOE","594","Adv Biomaterials for Implants","2437","Biomedical Eng - Engineering","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shokuhfar, Tolou","11"
"BIOE","594","Adv Stats & Machine Learning","2437","Biomedical Eng - Engineering","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Liao, Wei-Hsun","11"
"BIOE","595","Seminar on Bioengineering","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","Takoudis, Christos G","16"
"BIOE","598","Masters Thesis Research","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","Eddington, David T.","18"
"CHE","201","Intro to Thermodynamics","2709","Chemical Engrg","13","5","2","1","0","0","0","0","0","0","0","0","0","0","0","1","Bilgin, Betul","22"
"CHE","205","Computational Methods in ChE","2709","Chemical Engrg","20","1","10","3","2","0","0","0","2","0","0","0","0","0","0","0","Bilgin, Betul","38"
"CHE","210","Material & Energy Balances","2709","Chemical Engrg","8","5","22","8","0","0","0","0","0","0","0","0","0","0","0","2","Wedgewood, Lewis E","45"
"CHE","301","Chem Engr Thermodynamics","2709","Chemical Engrg","13","2","3","1","1","0","0","0","0","0","0","0","0","0","0","1","Caracotsios, Michael","21"
"CHE","311","Transport Phenomena I","2709","Chemical Engrg","9","6","1","0","0","0","0","0","2","0","0","0","0","0","0","1","Sharma, Vivek","19"
"CHE","312","Transport Phenomena II","2709","Chemical Engrg","15","20","14","0","0","0","0","0","0","0","0","0","0","0","0","0","Takoudis, Christos G","49"
"CHE","313","Transport Phenomena III","2709","Chemical Engrg","14","20","11","2","0","0","0","0","1","0","0","0","0","0","0","0","Kim, Sangil","48"
"CHE","321","Chemical Reaction Engr","2709","Chemical Engrg","12","28","6","3","1","0","0","0","0","0","0","0","0","0","0","0","Berry, Vikas","50"
"CHE","341","Chemical Process Control","2709","Chemical Engrg","58","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Caracotsios, Michael","63"
"CHE","382","Chem Engr Lab II","2709","Chemical Engrg","54","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Zdunek, Alan","63"
"CHE","397","Senior Design II","2709","Chemical Engrg","43","19","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Bilgin, Betul","63"
"CHE","431","Numerical Methods In Chem Engr","2709","Chemical Engrg","18","3","2","0","0","0","0","0","0","0","0","0","0","0","0","2","Mehraeen, Shafigh","25"
"CHE","494","Electrochemistry","2709","Chemical Engrg","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Chaplin, Brian P","10"
"CHE","512","Microhydrodynamics, Diffusion","2709","Chemical Engrg","14","4","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Sharma, Vivek","21"
"CHE","527","Adv Chemical Reaction Engr","2709","Chemical Engrg","9","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Singh, Meenesh Rajpal","14"
"CHE","595","Advances In Chem Engr Research","2709","Chemical Engrg","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mehraeen, Shafigh","22"
"CME","112","Evolution of Infrastructure","2737","Civil, Matls & Env Engineering","17","20","9","5","3","0","0","0","0","0","0","0","0","0","0","7","Schulenberg, Joseph W","61"
