"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"BIOE","101","Intro to Bioengineering","2437","Biomedical Eng - Engineering","16","4","5","4","7","0","0","0","0","0","0","0","0","0","0","0","Eddington, David T.","36"
"BIOE","102","Bioengineering Freshman Smnr","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","1","0","0","0","0","38","4","0","Shokuhfar, Tolou","43"
"BIOE","205","Biothermodynamics","2437","Biomedical Eng - Engineering","25","19","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Wang, Zhinan","47"
"BIOE","240","Modeling Data and Systems","2437","Biomedical Eng - Engineering","25","10","10","1","1","0","0","0","0","0","0","0","0","0","0","2","Wu, Ming","49"
"BIOE","250","Problems in Bioengineering","2437","Biomedical Eng - Engineering","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wang, Zhinan","48"
"BIOE","310","Biosystems Analysis","2437","Biomedical Eng - Engineering","12","15","9","6","2","0","0","0","0","0","0","0","0","0","0","3","Royston, Thomas J.","47"
"BIOE","325","Biotransport","2437","Biomedical Eng - Engineering","34","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Lee, James Chakman","42"
"BIOE","339","Biostatistics I","2437","Biomedical Eng - Engineering","22","8","7","6","2","0","0","0","0","0","0","0","0","0","0","1","Lin, Meishan","46"
"BIOE","397","Senior Design II","2437","Biomedical Eng - Engineering","54","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Felder, Anthony E","65"
"BIOE","399","Prof Develop for Bioengineers","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","72","0","1","Esmailbeigi, Hananeh","73"
"BIOE","410","Medical Device Requirements","2437","Biomedical Eng - Engineering","57","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Bogdanowicz, Leszek B","64"
"BIOE","430","Bioinstrumentation I","2437","Biomedical Eng - Engineering","16","5","4","1","4","0","0","0","0","0","0","0","0","0","0","1","Felder, Anthony E","31"
"BIOE","431","Bioinstrumentation I Lab","2437","Biomedical Eng - Engineering","21","7","3","3","3","0","0","0","1","0","0","0","0","0","0","3","Wang, Zhinan","41"
"BIOE","455","Intro to Cell & Tissue Engr","2437","Biomedical Eng - Engineering","8","7","7","1","0","0","0","0","0","0","0","0","0","0","0","0","Alsberg, Eben","23"
"BIOE","460","Biomaterials","2437","Biomedical Eng - Engineering","19","14","4","1","2","0","0","0","0","0","0","0","0","0","0","1","Shin, Jae-Won","41"
"BIOE","475","Neural Engineering I","2437","Biomedical Eng - Engineering","21","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","33"
"BIOE","476","Neural Engineering Lab","2437","Biomedical Eng - Engineering","16","15","5","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","36"
"BIOE","483","Molecular Modeling Bioinf","2437","Biomedical Eng - Engineering","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Ma, Ao","10"
"BIOE","494","Intro to Dental Sci & Research","2437","Biomedical Eng - Engineering","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mathew Thoppil, Mathew","46"
"BIOE","494","Wearables Technology Lab","2437","Biomedical Eng - Engineering","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Esmailbeigi, Hananeh","12"
"BIOE","504","Emerging Medical Tech","2437","Biomedical Eng - Engineering","11","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","Layton, Terry N","15"
"BIOE","505","NanoBioTechnology","2437","Biomedical Eng - Engineering","18","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Stroscio, Michael","19"
"BIOE","514","Biotransport","2709","Chemical Engrg","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Takoudis, Christos G","12"
"BIOE","548","Nanoscale Bioengineering","2437","Biomedical Eng - Engineering","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Papautsky, Ian","14"
"BIOE","580","Bioinformatics II","2437","Biomedical Eng - Engineering","4","6","3","1","0","0","0","0","0","0","0","0","0","0","0","3","Liang, Jie","17"
"BIOE","594","Adv Biomaterials for Implants","2437","Biomedical Eng - Engineering","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shokuhfar, Tolou","10"
"BIOE","594","Math Fdns of Adv Mach Learning","2437","Biomedical Eng - Engineering","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Liao, Wei-Hsun","12"
"BIOE","595","Seminar on Bioengineering","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","Khetani, Salman","36"
"CHE","201","Intro to Thermodynamics","2709","Chemical Engrg","12","6","1","0","0","0","0","0","0","0","0","0","0","0","0","2","Bilgin, Betul","21"
"CHE","205","Computational Methods in ChE","2709","Chemical Engrg","26","6","1","4","7","0","0","0","0","0","0","0","0","0","0","1","Bilgin, Betul","45"
"CHE","210","Material & Energy Balances","2709","Chemical Engrg","20","15","7","5","5","0","0","0","0","0","0","0","0","0","0","6","Wedgewood, Lewis E","58"
"CHE","301","Chem Engr Thermodynamics","2709","Chemical Engrg","8","7","0","2","0","0","0","0","0","0","0","0","0","0","0","2","Caracotsios, Michael","19"
"CHE","311","Transport Phenomena I","2709","Chemical Engrg","1","12","1","2","0","0","0","0","0","0","0","0","0","0","0","4","Liu, Ying","20"
"CHE","312","Transport Phenomena II","2709","Chemical Engrg","9","21","13","5","0","0","0","0","0","0","0","0","0","0","0","0","Wedgewood, Lewis E","48"
"CHE","313","Transport Phenomena III","2709","Chemical Engrg","13","20","9","4","0","0","0","0","0","0","0","0","0","0","0","1","Kim, Sangil","47"
"CHE","321","Chemical Reaction Engr","2709","Chemical Engrg","13","17","12","1","5","0","0","0","1","0","0","0","0","0","0","2","Berry, Vikas","51"
"CHE","341","Chemical Process Control","2709","Chemical Engrg","51","26","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Caracotsios, Michael","78"
"CHE","382","Chem Engr Lab II","2709","Chemical Engrg","36","31","9","0","1","0","0","0","0","0","0","0","0","0","0","1","Zdunek, Alan","78"
"CHE","397","Senior Design II","2709","Chemical Engrg","77","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Bilgin, Betul","79"
"CHE","454","Molecular & Macromolecular Eng","2709","Chemical Engrg","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sharma, Vivek","13"
"CHE","455","Nanoscale Systems in Chem Eng","2709","Chemical Engrg","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NGO, ANH T","11"
"CHE","494","Biopharma Process Dev. & Mfg.","2709","Chemical Engrg","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Singh, Meenesh Rajpal","24"
"CHE","510","Separation Processes","2709","Chemical Engrg","5","18","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Chaplin, Brian P","26"
"CHE","527","Adv Chemical Reaction Engr","2709","Chemical Engrg","7","5","2","1","0","0","0","0","0","0","0","0","0","0","0","0","Singh, Meenesh Rajpal","15"
"CHE","531","Numerical Methods in Chem Eng","2709","Chemical Engrg","20","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Mehraeen, Shafigh","22"
"CLJ","373","Intro School-Prison Nexus","2699","Computer Science","68","5","1","0","0","0","0","0","3","0","0","0","0","0","0","0","Nguyen, Nicole","77"
