"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"BIOE","402","Medical Tech Assessment","2437","Biomedical Eng - Engineering","35","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Bogdanowicz, Leszek B","39"
"BIOE","408","Medical Products","2437","Biomedical Eng - Engineering","10","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","Layton, Terry N","15"
"BIOE","430","Bioinstrumentation I","2437","Biomedical Eng - Engineering","13","24","8","7","1","0","0","0","0","0","0","0","0","0","0","4","Papautsky, Ian","57"
"BIOE","431","Bioinstrumentation I Lab","2437","Biomedical Eng - Engineering","39","14","1","1","2","0","0","0","0","0","0","0","0","0","0","0","Wang, Zhinan","57"
"BIOE","460","Biomaterials","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","55","0","0","0","0","1","Shokuhfar, Tolou","56"
"BIOE","599","PhD Thesis Research","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","Khetani, Salman","11"
"BME","101","Intro Biomedical Engineering","2437","Biomedical Eng - Engineering","29","8","4","5","13","0","0","0","2","0","0","0","0","0","0","9","Felder, Anthony E","70"
"BME","102","Biomed Eng Freshman Seminar","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0","4","Shokuhfar, Tolou","43"
"BME","205","Biomed Eng Thermodynamics","2437","Biomedical Eng - Engineering","16","9","3","1","1","0","0","0","1","0","0","0","0","0","0","2","Wang, Zhinan","33"
"BME","240","Modeling Data and Systems","2437","Biomedical Eng - Engineering","36","5","2","0","0","0","0","0","0","0","0","0","0","0","0","6","Avanaki, Kamran","49"
"BME","250","Clinical Problems Biomed Eng","2437","Biomedical Eng - Engineering","32","7","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Hetling, John R","40"
"BME","310","Biosystems Analysis","2437","Biomedical Eng - Engineering","27","3","4","1","3","0","0","1","0","0","0","0","0","0","0","8","Linninger, Andreas A","47"
"BME","325","Biotransport","2437","Biomedical Eng - Engineering","35","7","4","0","1","0","0","0","0","0","0","0","0","0","0","0","Lee, James Chakman","47"
"BME","339","Biostatistics I","2437","Biomedical Eng - Engineering","13","14","8","1","2","0","0","0","2","0","0","0","0","0","0","2","Wang, Zhinan","42"
"BME","396","Senior Design I","2437","Biomedical Eng - Engineering","21","49","6","2","0","0","0","0","0","0","0","0","0","0","0","0","Felder, Anthony E","78"
"BME","421","Biomedical Imaging","2437","Biomedical Eng - Engineering","14","12","4","2","0","0","0","0","1","0","0","0","0","0","0","0","Klatt, Dieter","33"
"BME","472","Models of the Nervous System","2437","Biomedical Eng - Engineering","15","9","4","2","1","0","0","0","2","0","1","0","0","0","0","2","Patton, James","36"
"BME","480","Intro to Bioinformatics","2437","Biomedical Eng - Engineering","8","15","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Lin, Meishan","26"
"BME","481","Bioinformatics Laboratory","2437","Biomedical Eng - Engineering","18","3","1","0","0","0","0","0","0","0","0","0","0","0","0","2","Lin, Meishan","24"
"BME","494","Software Dev for Med Devices","2437","Biomedical Eng - Engineering","16","4","1","0","1","0","0","0","0","0","0","0","0","0","0","1","Bogdanowicz, Leszek B","23"
"BME","494","Wearables Technology Lab","2437","Biomedical Eng - Engineering","10","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","Esmailbeigi, Hananeh","15"
"BME","525","Phys & Cellular Biomech Forces","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","Lee, James Chakman","20"
"BME","530","Stats & Machine Learning","2437","Biomedical Eng - Engineering","15","3","0","0","0","0","0","0","1","0","0","0","0","0","0","1","Dai, Yang","20"
"BME","562","Biomedical Implants","2437","Biomedical Eng - Engineering","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mathew Thoppil, Mathew","14"
"BME","575","Neural Engineering II","2437","Biomedical Eng - Engineering","10","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","Esmailbeigi, Hananeh","14"
"BME","594","Adv Quantitative Physiology","2437","Biomedical Eng - Engineering","5","1","4","0","0","0","0","0","0","0","0","0","0","0","0","1","Khetani, Salman","11"
"BME","594","Emerging Biomed Imaging Tech","2437","Biomedical Eng - Engineering","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yao, Xincheng","15"
"BME","594","Topics-Computational Cell Bio","2437","Biomedical Eng - Engineering","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Ma, Ao","10"
"BME","595","Seminar Biomedical Engineering","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","Takoudis, Christos G","26"
"CHE","201","Intro to Thermodynamics","2709","Chemical Engrg","14","10","4","0","1","0","0","0","0","0","0","0","0","0","0","1","Bilgin, Betul","30"
"CHE","205","Computational Methods in ChE","2709","Chemical Engrg","9","14","3","2","0","0","0","0","0","0","0","0","0","0","0","1","Mehraeen, Shafigh","29"
"CHE","210","Material & Energy Balances","2709","Chemical Engrg","5","6","10","5","0","0","0","0","0","0","0","0","0","0","0","1","Wedgewood, Lewis E","27"
"CHE","301","Chem Engr Thermodynamics","2709","Chemical Engrg","18","17","8","2","0","0","0","0","0","0","0","0","0","0","0","1","Caracotsios, Michael","46"
"CHE","311","Transport Phenomena I","2709","Chemical Engrg","15","19","7","5","0","0","0","0","0","0","0","0","0","0","0","1","Caracotsios, Michael","47"
"CHE","312","Transport Phenomena II","2709","Chemical Engrg","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","Takoudis, Christos G","13"
"CHE","313","Transport Phenomena III","2709","Chemical Engrg","3","5","4","0","0","0","0","0","0","0","0","0","0","0","0","2","Kim, Sangil","14"
"CHE","321","Chemical Reaction Engr","2709","Chemical Engrg","9","1","5","0","1","0","0","0","1","0","0","0","0","0","0","3","Singh, Meenesh Rajpal","20"
"CHE","330","Polymer Science","2709","Chemical Engrg","42","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Cheng, Gang","45"
"CHE","381","Chem Engr Lab I","2709","Chemical Engrg","29","29","1","0","1","0","0","0","0","0","0","0","0","0","0","1","Zdunek, Alan","61"
"CHE","396","Senior Design I","2709","Chemical Engrg","50","6","4","0","1","0","0","0","0","0","0","0","0","0","0","0","Bilgin, Betul","61"
"CHE","433","Aspen Plus Process Simulation","2709","Chemical Engrg","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Caracotsios, Michael","22"
"CHE","451","Renewable Energy Technologies","2709","Chemical Engrg","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Al-Hallaj, Said","12"
"CHE","453","Fundamentals Electrochemistry","2709","Chemical Engrg","2","7","4","0","0","0","0","0","0","0","0","0","0","0","0","2","Chaplin, Brian P","15"
"CHE","499","Professional Develpmnt Seminar","2709","Chemical Engrg","0","0","0","0","0","0","0","0","0","0","0","0","0","55","1","0","Zdunek, Alan","56"
"CHE","501","Advanced Thermodynamics","2709","Chemical Engrg","7","10","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Kim, Sangil","19"
"CHE","520","Transport Phenomena","2709","Chemical Engrg","4","6","5","0","0","0","0","0","0","0","0","0","0","0","0","1","Wedgewood, Lewis E","16"
"CHE","545","Math Methods in Chem Engr","2709","Chemical Engrg","17","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sharma, Vivek","19"
"CHE","595","Advances In Chem Engr Research","2709","Chemical Engrg","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sharma, Vivek","12"
"CME","112","Evolution of Infrastructure","2737","Civil, Matls & Env Engineering","28","19","7","3","9","0","0","0","0","0","0","0","0","0","0","6","Schulenberg, Joseph W","72"
"CME","201","Statics","2737","Civil, Matls & Env Engineering","44","50","24","15","18","0","0","0","5","0","0","0","0","0","0","13","Peiravian, Farideddin","169"
"CME","203","Strength Of Materials","2737","Civil, Matls & Env Engineering","20","38","24","10","2","0","0","0","0","0","0","0","0","0","0","7","Karpov, Eduard","101"
"CME","205","Structural Analysis I","2737","Civil, Matls & Env Engineering","11","10","10","4","8","0","0","0","0","0","0","0","0","0","0","6","Chi, Sheng-Wei","49"
"CME","211","Fluid Mechanics and Hydraulics","2737","Civil, Matls & Env Engineering","23","12","5","2","4","0","0","0","0","0","0","0","0","0","0","1","Abokifa, Ahmed","47"
