"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"BME","101","Intro Biomedical Engineering","2437","Biomedical Eng - Engineering","20","7","3","1","1","0","0","0","0","0","0","0","0","0","0","0","Wang, Zhinan","32"
"BME","102","Biomed Eng Freshman Seminar","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","51","0","0","Khetani, Salman","51"
"BME","205","Biomed Eng Thermodynamics","2437","Biomedical Eng - Engineering","35","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Lee, James Chakman","44"
"BME","240","Modeling Data and Systems","2437","Biomedical Eng - Engineering","33","9","5","0","0","0","0","0","1","0","0","0","0","0","0","1","Wu, Ming","49"
"BME","250","Clinical Problems Biomed Eng","2437","Biomedical Eng - Engineering","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","48"
"BME","310","Biosystems Analysis","2437","Biomedical Eng - Engineering","23","11","5","2","1","0","0","0","0","0","0","0","0","0","0","0","Guidetti, Martina","42"
"BME","325","Biotransport","2437","Biomedical Eng - Engineering","13","13","5","0","0","0","0","1","0","0","0","0","0","0","0","0","Takoudis, Christos G","32"
"BME","332","Bioinstrumentation I","2437","Biomedical Eng - Engineering","17","18","16","2","0","0","0","0","1","0","0","0","0","0","0","0","Papautsky, Ian","54"
"BME","333","Bioinstrumentation Lab I","2437","Biomedical Eng - Engineering","36","13","0","1","0","0","0","0","2","0","0","0","0","0","0","0","Wang, Zhinan","52"
"BME","339","Biostatistics I","2437","Biomedical Eng - Engineering","14","18","5","2","0","0","0","0","2","0","0","0","0","0","0","0","Lin, Meishan","41"
"BME","397","Senior Design II","2437","Biomedical Eng - Engineering","56","9","3","2","0","0","0","0","0","0","0","0","0","0","0","0","Felder, Anthony E","70"
"BME","399","Prof Development Biomed Eng","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","73","5","0","Esmailbeigi, Hananeh","78"
"BME","402","Medical Tech Assessment","2437","Biomedical Eng - Engineering","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Kotche, Miiri Ann","10"
"BME","408","Medical Product Development","2437","Biomedical Eng - Engineering","10","15","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Layton, Terry N","29"
"BME","410","Medical Device Requirements","2437","Biomedical Eng - Engineering","36","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Browne, Michael Gordon","50"
"BME","422","Magnetic Resonance Imaging","2437","Biomedical Eng - Engineering","1","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","Iyigunler, Meryem Muge Karaman","10"
"BME","423","Biomedical Imaging Laboratory","2437","Biomedical Eng - Engineering","9","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Klatt, Dieter","13"
"BME","455","Intro to Cell & Tissue Eng","2437","Biomedical Eng - Engineering","7","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","Alsberg, Eben","20"
"BME","460","Materials in Biomed Eng","2437","Biomedical Eng - Engineering","20","9","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Shokuhfar, Tolou","30"
"BME","475","Neural Engineering I","2437","Biomedical Eng - Engineering","2","15","6","3","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","26"
"BME","476","Neural Eng I Lab","2437","Biomedical Eng - Engineering","20","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","26"
"BME","494","Imaging Seminar","2437","Biomedical Eng - Engineering","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Wang, Zhinan","12"
"BME","494","Princ of Photoacoustic Imaging","2437","Biomedical Eng - Engineering","6","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Avanaki, Kamran","12"
"BME","530","Stats & Machine Learning","2437","Biomedical Eng - Engineering","14","8","1","0","1","0","0","0","0","0","0","0","0","0","0","1","Dai, Yang","25"
"BME","538","Numerical Analysis & Bio Syst","2437","Biomedical Eng - Engineering","13","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Peng, Zhangli","16"
"BME","564","Adv Biomaterials for Implants","2437","Biomedical Eng - Engineering","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shokuhfar, Tolou","11"
"BME","568","Emerging Optical Imaging Tech","2437","Biomedical Eng - Engineering","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yao, Xincheng","12"
"BME","595","Seminar Biomedical Engineering","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","2","0","0","0","0","27","0","0","Takoudis, Christos G","29"
"BME","598","Masters Thesis Research","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","Khetani, Salman","12"
"BME","599","Ph.D. Thesis Research","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","1","0","0","10","0","0","Khetani, Salman","11"
"BME","599","Ph.D. Thesis Research","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","Yao, Xincheng","10"
"CHE","201","Intro to Thermodynamics","2709","Chemical Engrg","6","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Bilgin, Betul","11"
"CHE","205","Computational Methods in ChE","2709","Chemical Engrg","13","4","3","0","0","0","0","0","0","0","0","0","0","0","0","1","Bilgin, Betul","21"
"CHE","210","Material & Energy Balances","2709","Chemical Engrg","9","19","7","6","0","0","0","0","0","0","0","0","0","0","0","0","Wedgewood, Lewis E","41"
"CHE","230","Molecular Systems in Chem Eng","2709","Chemical Engrg","35","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Ibagere, Ezinne Chidiebere","47"
"CHE","301","Chem Engr Thermodynamics","2709","Chemical Engrg","9","11","3","0","0","0","0","0","0","0","0","0","0","0","0","1","Caracotsios, Michael","24"
"CHE","311","Transport Phenomena I","2709","Chemical Engrg","4","7","3","1","0","0","0","0","1","0","0","0","0","0","0","0","Torabi, Korosh","16"
"CHE","312","Transport Phenomena II","2709","Chemical Engrg","5","9","3","2","1","0","0","0","0","0","0","0","0","0","0","1","Torabi, Korosh","21"
"CHE","313","Transport Phenomena III","2709","Chemical Engrg","5","13","3","1","0","0","0","0","1","0","0","0","0","0","0","2","Kim, Sangil","25"
"CHE","321","Chemical Reaction Engr","2709","Chemical Engrg","5","15","1","0","2","0","0","0","1","0","0","0","0","0","0","1","Torabi, Korosh","25"
"CHE","341","Chemical Process Control","2709","Chemical Engrg","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Caracotsios, Michael","39"
"CHE","382","Chem Engr Lab II","2709","Chemical Engrg","23","15","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Zdunek, Alan","39"
"CHE","397","Senior Design II","2709","Chemical Engrg","37","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Bilgin, Betul","40"
"CHE","595","Advances In Chem Engr Research","2709","Chemical Engrg","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mehraeen, Shafigh","21"
"CME","112","Evolution of Infrastructure","2737","Civil, Matls & Env Engineering","23","2","5","2","5","0","0","0","0","0","0","0","0","0","0","1","Schulenberg, Joseph W","38"
"CME","119","Intro Environment Eng & Sci","2737","Civil, Matls & Env Engineering","10","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Stabryla, Lisa","20"
"CME","197","Intro to Civil Environment Eng","2737","Civil, Matls & Env Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","134","1","3","Ataei, Hossein","138"
"CME","201","Statics","2737","Civil, Matls & Env Engineering","39","17","32","8","33","0","0","0","0","0","0","0","0","0","0","17","Banjavcic, Scott David","146"
"CME","203","Strength Of Materials","2737","Civil, Matls & Env Engineering","53","50","19","9","7","0","0","0","0","0","0","0","0","0","0","8","Iranmanesh, Amirhossein","146"
"CME","205","Structural Analysis I","2737","Civil, Matls & Env Engineering","12","15","14","2","0","0","0","0","1","0","0","0","0","0","0","1","Ansari, Farhad","45"
"CME","207","Engineering Prob & Econ","2737","Civil, Matls & Env Engineering","29","25","5","2","1","0","0","0","0","0","0","0","0","0","0","4","Banjavcic, Scott David","66"
"CME","211","Fluid Mechanics and Hydraulics","2737","Civil, Matls & Env Engineering","23","21","7","5","5","0","0","0","0","0","0","0","0","0","0","2","Abokifa, Ahmed","63"
"CME","260","Properties Of Materials","2737","Civil, Matls & Env Engineering","26","41","35","14","2","0","0","0","1","0","0","0","0","0","0","3","Daly, Matthew","122"
"CME","261","Materials For Manufacturing","2737","Civil, Matls & Env Engineering","25","6","10","0","0","0","0","0","0","0","0","0","0","0","0","1","Karpov, Eduard","42"
"CME","290","Engineering Surveying","2737","Civil, Matls & Env Engineering","23","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Peiravian, Farideddin","26"
"CME","297","Civil Env Eng Drawing Design","2737","Civil, Matls & Env Engineering","43","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","Peiravian, Farideddin","50"
"CME","300","Concrete Properties&Compositn","2737","Civil, Matls & Env Engineering","15","29","10","0","0","0","0","0","0","0","0","0","0","0","0","0","Issa, Mohsen","54"
"CME","301","Behav & Dsgn Metal Struct","2737","Civil, Matls & Env Engineering","18","17","5","3","1","0","0","0","0","0","0","0","0","0","0","0","Ozevin, Didem","44"
"CME","302","Transportation Engr","2737","Civil, Matls & Env Engineering","18","23","10","3","0","0","0","0","0","0","0","0","0","0","0","0","Zou, Bo","54"
"CME","310","Reinforc Concrete Struc Design","2737","Civil, Matls & Env Engineering","24","17","11","1","0","0","0","0","1","0","0","0","0","0","0","0","Iranmanesh, Amirhossein","54"
"CME","311","Water Resources Engineering","2737","Civil, Matls & Env Engineering","31","25","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Schulenberg, Joseph W","60"
"CME","315","Soil Mechanics & Lab","2737","Civil, Matls & Env Engineering","21","14","7","2","0","0","0","0","0","0","0","0","0","0","0","0","Reddy, Krishna R","44"
"CME","322","Environmental Engineering","2737","Civil, Matls & Env Engineering","11","18","15","8","0","0","0","0","0","0","0","0","0","0","0","0","Khodadoust, Amid","52"
"CME","401","Adv Design Of Metal Struct","2737","Civil, Matls & Env Engineering","24","12","1","2","0","0","0","0","1","0","0","0","0","0","0","0","Iranmanesh, Amirhossein","40"
"CME","402","Highway Design","2737","Civil, Matls & Env Engineering","15","18","10","2","2","0","0","0","0","0","0","0","0","0","0","0","Peiravian, Farideddin","47"
"CME","403","Hydraulic Design","2737","Civil, Matls & Env Engineering","2","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Burke, Christopher B.","14"
"CME","405","Foundation Dsgn& Analysis","2737","Civil, Matls & Env Engineering","13","26","9","3","1","0","0","0","0","0","0","0","0","0","0","0","Schulenberg, Joseph W","52"
"CME","408","Traffic Engineer & Design","2737","Civil, Matls & Env Engineering","5","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Mohammadian, Abolfazl","15"
"CME","409","Structural Analysis II","2737","Civil, Matls & Env Engineering","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Ansari, Farhad","12"
"CME","410","Prestress Concret Struct Desgn","2737","Civil, Matls & Env Engineering","9","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Ozevin, Didem","18"
"CME","421","Water Treatment Design","2737","Civil, Matls & Env Engineering","4","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Khodadoust, Amid","12"
"CME","434","Finite Element Analysis I","2737","Civil, Matls & Env Engineering","29","25","27","0","0","0","0","0","0","0","0","0","0","0","0","1","Karpov, Eduard","82"
"CME","486","Construction Equipment","2737","Civil, Matls & Env Engineering","11","14","5","2","2","0","0","0","0","0","0","0","0","0","0","1","Ataei, Hossein","35"
"CME","493","Seminar","2737","Civil, Matls & Env Engineering","41","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Iranmanesh, Amirhossein","43"
"CME","494","Adv topics in Envr. ENGR","2737","Civil, Matls & Env Engineering","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Banjavcic, Scott David","10"
"CME","494","Geomatics Engineering","2737","Civil, Matls & Env Engineering","29","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Peiravian, Farideddin","30"
"CME","497","Capstone Design","2737","Civil, Matls & Env Engineering","83","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Burke, Christopher B.","91"
"CME","514","Sustainable Engineering","2737","Civil, Matls & Env Engineering","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Reddy, Krishna R","20"
"CME","519","Structural Steel Systems","2737","Civil, Matls & Env Engineering","9","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","Mahamid, Mustafa","11"
"CME","586","Construction Regulations","2737","Civil, Matls & Env Engineering","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Ataei, Hossein","15"
"CME","594","Applied Data Science","2737","Civil, Matls & Env Engineering","16","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Derrible, Sybil Jean Marie","18"
"CS","107","Intro Comp & Programming","2699","Computer Science","46","54","39","10","2","0","0","0","0","0","0","0","0","0","0","11","Polakis, Jason","162"
"CS","109","Prog for Engineers w/MatLab","2699","Computer Science","111","104","45","18","11","0","0","0","0","0","0","0","0","0","0","8"," ,","297"
"CS","111","Program Design I","2699","Computer Science","50","37","11","4","11","0","0","0","0","0","0","0","0","0","0","13","Franke, Baker E","126"
"CS","141","Program Design II","2699","Computer Science","56","27","22","11","10","0","0","0","0","0","0","0","0","0","0","7","GU, Zhaochen","133"
"CS","141","Program Design II","2699","Computer Science","82","53","28","10","11","0","0","0","1","0","0","0","0","0","0","7","Hodges, Mark Richard","192"
"CS","151","Foundations of Computing","2699","Computer Science","57","70","33","13","2","0","0","0","0","0","3","0","0","0","0","8","Dey, Drishika","186"
"CS","151","Foundations of Computing","2699","Computer Science","81","93","44","7","4","0","0","0","0","0","0","0","0","0","0","11","Katok, Zoa","240"
"CS","211","Programming Practicum","2699","Computer Science","19","22","30","11","11","0","0","0","0","0","0","0","0","0","0","9","Hayes, David P","102"
"CS","211","Programming Practicum","2699","Computer Science","47","49","48","18","9","0","0","0","0","0","0","0","0","0","0","7","Reckinger, Scott J","178"
"CS","251","Data Structures","2699","Computer Science","54","47","31","17","14","0","0","0","1","0","0","0","0","0","0","15","Ayala Rodriguez, Daniel","179"
"CS","251","Data Structures","2699","Computer Science","56","52","41","20","9","0","0","0","0","0","0","0","0","0","0","13","Ordentlich, Ethan","191"
"CS","261","Machine Organization","2699","Computer Science","64","88","48","15","7","0","0","0","1","0","0","0","0","0","0","5","Koehler, Adam Thomas","228"
"CS","261","Machine Organization","2699","Computer Science","16","28","14","8","2","0","0","0","0","0","0","0","0","0","0","2","Theys, Mitchell D","70"
"CS","277","Technical Comm in Comp Sci","2699","Computer Science","116","12","7","0","0","0","0","0","0","0","0","0","0","0","0","0","Carson, Jordan Marie","135"
"CS","277","Technical Comm in Comp Sci","2699","Computer Science","93","20","12","2","4","0","0","0","0","0","0","0","0","0","0","3","Cranch, Cody Ingersoll","134"
"CS","294","Tech Interview Prep Course","2699","Computer Science","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","Kanich, Chris","12"
"CS","294","Ugrad TA Seminar","2699","Computer Science","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Cranch, Cody Ingersoll","51"
