"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ECE","458","Electromech Energy Conversn","2949","Electrical & Computer Engr","12","6","5","1","0","0","0","0","0","0","0","0","0","0","0","0","Revelo Alonso, Renata Alejandra","24"
"ECE","464","Testing, Reliability and Secur","2949","Electrical & Computer Engr","7","2","2","1","2","0","0","0","0","0","0","0","0","0","0","0","Rao, Wenjing","14"
"ECE","465","Digital Systems Design","2949","Electrical & Computer Engr","3","16","4","2","0","0","0","0","1","0","0","0","0","0","0","4","Pal, Debjit","30"
"ECE","466","Adv Computer Architecture","2949","Electrical & Computer Engr","10","11","5","4","1","0","0","0","3","0","0","0","0","0","0","0","Zhu, Zhichun","34"
"ECE","467","Introduc to VLSI Design","2949","Electrical & Computer Engr","5","13","9","6","0","0","0","0","0","0","0","0","0","0","0","1","Trivedi, Amit","34"
"ECE","491","Digital Speech Processing","2949","Electrical & Computer Engr","8","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Cetin, Ahmet Enis","15"
"ECE","491","Power System Analysis","2949","Electrical & Computer Engr","6","3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","He, Lina","14"
"ECE","499","Prof. Development Seminar","2949","Electrical & Computer Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","37","0","0","Kosmach, James","37"
"ECE","508","Convex Optimization","2949","Electrical & Computer Engr","5","2","2","0","0","0","0","0","0","0","0","0","0","0","0","2","Han, Shuo","11"
"ECE","516","Adaptive Digital Filters","2949","Electrical & Computer Engr","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Soltanalian, Mojtaba","11"
"ECE","523","Antenna Theory and Design","2949","Electrical & Computer Engr","17","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Chen, Pai-Yen","19"
"ECE","533","Advanced Computer Comm","2949","Electrical & Computer Engr","6","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Seferoglu, Hulya","16"
"ECE","559","Neural Networks","2949","Electrical & Computer Engr","16","6","4","0","0","0","0","0","0","0","0","0","0","0","0","3","Koyuncu, Erdem","29"
"ECE","568","Advanced Micro Arch","2949","Electrical & Computer Engr","10","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Zhang, Zhao","13"
"ECE","595","Departmental Seminar","2949","Electrical & Computer Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","44","2","1","Zhu, Zhichun","47"
"ECE","599","PhD Thesis Research","2949","Electrical & Computer Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","Shadmand, Mohammad","10"
"ENER","553","Sustainable Energy","2323","Mechanical & Industrial Engr","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Ryan, William A","14"
"ENGR","100","BME ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","6","0","0","0","0","60","1","2","Narubin Durbin, Simona Ieva","69"
"ENGR","100","BME ENGR Orientation-no Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","3","0","0","0","0","17","2","0","Narubin Durbin, Simona Ieva","22"
"ENGR","100","CHE ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","9","0","0","0","0","18","1","0","Narubin Durbin, Simona Ieva","28"
