"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"BME","101","Intro Biomedical Engineering","2437","Biomedical Eng - Engineering","19","10","1","4","3","0","0","0","0","0","0","0","0","0","0","1","Eddington, David T.","38"
"BME","102","Biomed Eng Freshman Seminar","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","47","5","3","Shokuhfar, Tolou","55"
"BME","205","Biomed Eng Thermodynamics","2437","Biomedical Eng - Engineering","39","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Lee, James Chakman","45"
"BME","240","Modeling Data and Systems","2437","Biomedical Eng - Engineering","8","9","4","1","2","0","0","0","0","0","0","0","0","0","0","0","Wu, Ming","24"
"BME","250","Clinical Problems Biomed Eng","2437","Biomedical Eng - Engineering","26","10","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Wang, Zhinan","38"
"BME","310","Biosystems Analysis","2437","Biomedical Eng - Engineering","8","8","3","2","2","0","0","0","0","0","0","0","0","0","0","1","Felder, Anthony E","24"
"BME","325","Biotransport","2437","Biomedical Eng - Engineering","15","5","0","1","1","0","0","0","0","0","0","0","0","0","0","4","Takoudis, Christos G","26"
"BME","332","Bioinstrumentation I","2437","Biomedical Eng - Engineering","10","18","10","8","1","0","0","0","0","0","0","0","0","0","0","1","Papautsky, Ian","48"
"BME","333","Bioinstrumentation Lab I","2437","Biomedical Eng - Engineering","23","11","7","1","0","0","0","0","0","0","0","0","0","0","0","1","Wang, Zhinan","43"
"BME","339","Biostatistics I","2437","Biomedical Eng - Engineering","11","13","3","1","4","0","0","0","1","0","0","0","0","0","0","1","Dai, Yang","34"
"BME","397","Senior Design II","2437","Biomedical Eng - Engineering","47","21","7","1","0","0","0","0","0","0","0","0","0","0","0","0","Felder, Anthony E","76"
"BME","399","Prof Development Biomed Eng","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","71","0","2","Esmailbeigi, Hananeh","73"
"BME","402","Medical Tech Assessment","2437","Biomedical Eng - Engineering","36","6","3","1","0","0","0","0","0","0","0","0","0","0","0","1","Layton, Terry N","47"
"BME","452","Biocontrol","2437","Biomedical Eng - Engineering","5","3","2","0","0","0","0","0","0","0","0","0","0","0","0","3","Patton, James","13"
"BME","455","Intro to Cell & Tissue Eng","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0","0","Alsberg, Eben","33"
"BME","460","Materials in Biomed Eng","2437","Biomedical Eng - Engineering","16","12","6","0","0","0","0","0","2","0","0","0","0","0","0","1","Shin, Jae-Won","37"
"BME","462","Intro Dental Clinical Res&Tech","2437","Biomedical Eng - Engineering","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mathew Thoppil, Mathew","14"
"BME","475","Neural Engineering I","2437","Biomedical Eng - Engineering","11","13","5","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","29"
"BME","476","Neural Eng I Lab","2437","Biomedical Eng - Engineering","25","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","28"
"BME","494","Intro to Medtech Innovation","2437","Biomedical Eng - Engineering","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Browne, Michael Gordon","10"
"BME","494","Princ of Photoacoustic Imaging","2437","Biomedical Eng - Engineering","14","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Avanaki, Kamran","22"
"BME","538","Numerical Analysis & Bio Syst","2437","Biomedical Eng - Engineering","10","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Peng, Zhangli","14"
"BME","548","Nanoscale Biomedical Eng","2437","Biomedical Eng - Engineering","23","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Papautsky, Ian","24"
