"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"BIOE","101","Intro to Bioengineering","2437","Biomedical Eng - Engineering","53","12","5","7","7","0","0","0","1","0","0","0","0","0","0","3","Felder, Anthony E","88"
"BIOE","102","Bioengineering Freshman Smnr","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","62","6","0","Shokuhfar, Tolou","68"
"BIOE","205","Biothermodynamics","2437","Biomedical Eng - Engineering","20","22","2","3","1","0","0","0","0","0","0","0","0","0","0","0","Wang, Zhinan","48"
"BIOE","240","Modeling Data and Systems","2437","Biomedical Eng - Engineering","24","12","3","2","2","0","0","0","0","0","0","0","0","0","0","3","Wu, Ming","46"
"BIOE","250","Problems in Bioengineering","2437","Biomedical Eng - Engineering","43","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","47"
"BIOE","310","Biosystems Analysis","2437","Biomedical Eng - Engineering","22","7","5","1","0","0","0","0","0","0","0","0","0","0","0","4","Linninger, Andreas A","39"
"BIOE","325","Biotransport","2437","Biomedical Eng - Engineering","22","17","4","1","1","0","0","0","0","0","0","0","0","0","0","0","Peng, Zhangli","45"
"BIOE","339","Biostatistics I","2437","Biomedical Eng - Engineering","22","11","2","6","2","0","0","0","0","0","0","0","0","0","0","1","Wang, Zhinan","44"
"BIOE","396","Senior Design I","2437","Biomedical Eng - Engineering","21","39","5","0","0","0","0","0","0","0","0","0","0","0","0","0","Kotche, Miiri Ann","65"
"BIOE","403","Quality Assurance Med Products","2437","Biomedical Eng - Engineering","10","0","0","0","0","0","0","0","0","0","35","0","0","0","0","1","Bogdanowicz, Leszek B","46"
"BIOE","421","Biomedical Imaging","2437","Biomedical Eng - Engineering","11","14","6","0","0","0","0","0","1","0","0","0","0","0","0","0","Klatt, Dieter","32"
"BIOE","430","Bioinstrumentation I","2437","Biomedical Eng - Engineering","11","27","8","7","0","0","0","0","0","0","0","0","0","0","0","2","Papautsky, Ian","55"
"BIOE","431","Bioinstrumentation I Lab","2437","Biomedical Eng - Engineering","12","7","6","3","1","0","0","0","0","0","0","0","0","0","0","3","Wang, Zhinan","32"
"BIOE","460","Biomaterials","2437","Biomedical Eng - Engineering","39","10","4","1","1","0","0","0","0","0","0","0","0","0","0","1","Shokuhfar, Tolou","56"
"BIOE","472","Neural Models","2437","Biomedical Eng - Engineering","8","9","10","3","1","0","0","0","0","0","0","0","0","0","0","1","Patton, James","32"
"BIOE","480","Intro to Bioinformatics","2437","Biomedical Eng - Engineering","14","13","2","2","0","0","0","0","0","0","0","0","0","0","0","0","Lin, Meishan","31"
"BIOE","481","Bioinformatics Laboratory","2437","Biomedical Eng - Engineering","11","6","2","1","1","0","0","0","0","0","0","0","0","0","0","0","Lin, Meishan","21"
"BIOE","494","Software Dev for Med Devices","2437","Biomedical Eng - Engineering","13","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Bogdanowicz, Leszek B","14"
"BIOE","494","Wearables Technology Lab","2437","Biomedical Eng - Engineering","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Esmailbeigi, Hananeh","12"
"BIOE","525","Cellular Biomechanics","2437","Biomedical Eng - Engineering","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lee, James Chakman","13"
"BIOE","530","Stats & Machine Learning","2437","Biomedical Eng - Engineering","28","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","Dai, Yang","35"
"BIOE","562","Biomedical implants","2437","Biomedical Eng - Engineering","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Mathew Thoppil, Mathew","15"
"BIOE","594","Elastography","2437","Biomedical Eng - Engineering","4","4","0","0","0","0","0","0","1","0","0","0","0","0","0","1","Klatt, Dieter","10"
"BIOE","594","Geom/Topology Methods-Biology","2437","Biomedical Eng - Engineering","6","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","Liang, Jie","12"
"BIOE","595","Seminar on Bioengineering","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","2","0","0","0","0","33","0","0","Takoudis, Christos G","35"
"CHE","201","Intro to Thermodynamics","2709","Chemical Engrg","37","9","4","3","2","0","0","0","0","0","0","0","0","0","0","2","Bilgin, Betul","57"
"CHE","205","Computational Methods in ChE","2709","Chemical Engrg","14","9","3","0","0","0","0","0","0","0","0","0","0","0","0","3","Mehraeen, Shafigh","29"
"CHE","210","Material & Energy Balances","2709","Chemical Engrg","5","3","9","4","1","0","0","0","0","0","0","0","0","0","0","3","Wedgewood, Lewis E","25"
